year,industry1,industry2,industry3,at_least_one,parttime_work,flexihours,staggered_hours,teleworking,homeworking,job_sharing,compressed_work_week
2022,manufacturing,transport equipment,transport equipment,63.2,16.6,35.3,30.1,32.8,12.7,15.6,20.8
2022,manufacturing,other manufacturing industries,other manufacturing industries,55.4,19.4,28.8,31.5,23.9,2.3,5.4,18.9
2022,construction,construction,construction,59.4,22.5,31.4,25.9,24.1,9.1,17.2,14.8
2022,services,wholesale and retail trade,wholesale trade,69.6,29.3,34.1,36.5,36.9,4.9,11.2,11.5
2022,services,wholesale and retail trade,retail trade,82.6,61,45.1,42.5,32.3,10.4,24.1,26.5
2022,services,transportation and storage,land transport and supporting services,73.3,46.7,36.4,42.1,39.5,9.2,19,14.4
2022,services,transportation and storage,water transport and supporting services,65.1,18,29.7,43,42.4,4.1,8.1,16.9
2022,services,transportation and storage,air transport and supporting services,s,s,s,s,s,s,s,s
2022,services,transportation and storage,other transport and storage services,69,29.4,40.7,33,33.8,7.7,19.5,17.3
2022,services,accommodation and food services,accommodation,76.1,51.4,41.3,47.7,22,1.8,14.7,14.7
2022,services,accommodation and food services,food and beverage services,80.8,56.9,42.7,36.1,22.9,11.8,18.9,19.3
2022,services,information and communications,"telecommunications, broadcasting and publishing",80.4,28.3,58.7,53.6,51.4,7.2,8.7,14.5
2022,services,information and communications,it and other information services,83.4,33.5,54,41.9,56.9,7,13.1,14.4
2022,services,financial and insurance services,financial services,77.4,32.7,35.4,47.5,54,4.3,8.8,15.3
2022,services,financial and insurance services,insurance services,s,s,s,s,s,s,s,s
2022,services,real estate services,real estate services,77,46,25.3,28.2,24.7,9.8,10.9,19.5
2022,services,professional services,"legal, accounting and management services",82.9,38.9,44,44.3,53.4,7.3,8.5,17.6
2022,services,professional services,architectural and engineering services,71,32.7,36.7,38,35.9,12.4,20.6,20.1
2022,services,professional services,other professional services,85,49.4,48.3,21.7,57.8,10,3.9,20.6
2022,services,administrative and support services,security and investigation,90.8,71.5,51.5,32.3,39.2,7.7,23.8,38.5
2022,services,administrative and support services,cleaning and landscaping,63,50.3,25.3,23.3,14.8,7.5,12.5,14
2022,services,administrative and support services,other administrative and support services,71.5,30.2,37.1,43.6,39.2,4.1,16.2,19.6
2022,services,"community, social and personal services",education,96,73.2,46,69.2,51.5,18.7,34.8,30.3
2022,services,"community, social and personal services",health and social services,82.2,64,43.8,47.3,36.3,12,17.1,17.1
2022,services,"community, social and personal services","other community, social and personal services",77.4,53.7,46,39.9,39,16.8,16.2,20.8
2023,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",69.6,47.2,45.7,32.4,27,6.1,24.2,18.9
2023,manufacturing,paper/ rubber/ plastic products and printing,paper/ rubber/ plastic products and printing,59.9,21,44.4,36.4,19.1,3.1,12.3,10.5
2023,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",51.8,19.4,18.8,20.6,28.2,2.9,14.7,8.8
2023,manufacturing,fabricated metal products and machinery,fabricated metal products and machinery,54.2,16.9,27.6,17.1,25.1,4.3,15.3,6.8
2023,manufacturing,electronic and computer products,electronic and computer products,83.9,15.3,43.1,29.9,41.6,9.5,8.8,10.2
2023,manufacturing,transport equipment,transport equipment,57.8,23.3,35.6,26.6,27.5,15.6,25,19.3
2023,manufacturing,other manufacturing industries,other manufacturing industries,49.2,32.3,28,20.6,19.1,5.8,6.2,7.7
2023,construction,construction,construction,58.1,22.5,32.6,21.8,25.6,12.3,22.4,13.8
2023,services,wholesale and retail trade,wholesale trade,66.6,27,33,33,32.8,9.1,17.1,8.2
2023,services,wholesale and retail trade,retail trade,76,50,41.5,29.2,30.6,8.5,21.1,12.7
2023,services,transportation and storage,land transport and supporting services,67.1,35.6,37,31.1,32.4,0.9,14.2,9.6
2023,services,transportation and storage,water transport and supporting services,68.4,15.6,31.6,34,37.3,6.1,22.6,8
2023,services,transportation and storage,air transport and supporting services,s,s,s,s,s,s,s,s
2023,services,transportation and storage,other transport and storage services,68.8,21.9,39.3,33.3,23.1,10.5,18.3,12.9
2023,services,accommodation and food services,accommodation,77.3,48.2,50.9,37.3,14.5,6.4,15.5,7.3
2023,services,accommodation and food services,food and beverage services,78.2,53.6,54.2,42.9,24.8,9.9,24.8,21.4
2023,services,information and communications,"telecommunications, broadcasting and publishing",83.9,40,54.2,34.8,64.5,22.6,20.6,17.4
