freq,nace_r1,currency,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 
A,C-E,PPS,NL	: 	21.75 	20.20 	21.37 	22.34 	23.90 	24.39 	25.68 	25.68 	27.02 	27.71 	: 	: 	: 
A,C-E,PPS,PL	: 	5.99 	6.59 	6.98 	7.59 	7.57 	8.00 	8.42 	8.45 	8.74 	8.93 	9.53 	10.83 	: 
A,C-E,PPS,PT	: 	7.49 	7.78 	7.88 	8.35 	8.64 	8.89 	9.15 	9.65 	9.96 	10.57 	10.84 	11.02 	11.13 
A,C-E,PPS,RO	: 	: 	: 	: 	: 	3.45 	3.87 	3.95 	3.72 	4.13 	4.36 	4.74 	5.26 	: 
A,C-E,PPS,SE	15.79 	17.39 	18.38 	19.28 	20.16 	22.30 	22.66 	23.33 	24.21 	26.53 	27.39 	27.87 	30.05 	: 
A,C-E,PPS,SI	9.36 	9.90 	10.75 	11.42 	11.99 	11.55 	12.04 	12.67 	12.89 	13.01 	13.36 	13.72 	14.00 	: 
A,C-E,PPS,SK	: 	5.71 	6.16 	6.89 	6.61 	6.85 	7.30 	8.07 	8.01 	8.17 	8.46 	9.11 	10.19 	: 
A,C-E,PPS,UK	: 	15.95 	16.69 	17.49 	18.30 	19.85 	20.92 	21.59 	21.85 	23.04 	21.11 	21.74 	21.51 	: 
A,C-F,EUR,AT	: 	23.07 	22.60 	22.83 	23.52 	23.81 	24.71 	25.62 	26.24 	26.78 	27.34 	27.47 	28.07 	28.94 
A,C-F,EUR,BE	: 	25.80 	25.63 	26.17 	26.95 	28.22 	29.66 	31.10 	31.55 	32.01 	32.42 	33.26 	34.87 	35.84 
A,C-F,EUR,BG	: 	: 	: 	: 	: 	1.31 	1.37 	1.39 	1.45 	1.52 	1.58 	1.65 	1.87 	: 
A,C-F,EUR,CH	: 	: 	: 	: 	: 	29.57 	: 	33.44 	: 	32.08 	: 	32.58 	: 	33.54 
A,C-F,EUR,CY	: 	7.47 	8.00 	8.35 	8.53 	9.34 	9.68 	10.22 	10.89 	11.53 	12.26 	12.79 	13.28 	14.10 
A,C-F,EUR,CZ	2.36 	2.72 	2.88 	3.16 	3.29 	3.68 	4.41 	5.18 	5.26 	5.57 	6.18 	6.84 	7.50 	: 
A,C-F,EUR,DE	: 	24.10 	24.50 	24.80 	25.30 	26.60 	27.50 	28.20 	28.90 	29.10 	29.30 	30.30 	30.60 	: 
A,C-F,EUR,DK	: 	: 	22.58 	23.71 	24.70 	25.61 	27.13 	28.26 	29.40 	29.84 	30.97 	32.26 	33.91 	: 
A,C-F,EUR,EE	: 	1.88 	2.16 	2.44 	2.50 	2.79 	3.11 	3.45 	3.79 	4.08 	4.60 	5.38 	6.65 	7.56 
A,C-F,EUR,EL	8.68 	9.22 	9.75 	9.75 	10.58 	10.91 	11.48 	12.20 	12.94 	: 	: 	: 	: 	: 
